CCR4	CCR4
CCR5	CCR5
CCR6	CCR6
CCR7	CCR7
CCR8	CCR8
CCR9	CCR9
CXCR2	CXCR2
CXCR3	CXCR3
CXCR4	CXCR4
CXCR5	CXCR5
CXCR6	CXCR6
CX3CR1	CX3CR1
XCR1	XCR1
Streptavidin	Streptavidin
HTO1	HTO1
HTO2	HTO2
HTO3	HTO3
Mouse_IgG2a	Mouse_IgG2a
Armenian_Hamster_IgG	Armenian_Hamster_IgG
Rat_IgG2b	Rat_IgG2b
